Timestamp,10/23/2023 3:52:15 PM
Interval,0.0002
Channel name,"XDiff Voltage AI1"
Unit,"Volts"
0,-1.4884343267624005
0.0002,-1.4871604883126008
0.0004,-1.4909820036619998
0.0006,-1.4909820036619998
0.0008,-1.4890712459873003
0.001,-1.4903450844371
0.0012,-1.4903450844371
0.0014,-1.4935296805615987
0.0016,-1.4979881151358976
0.0018,-1.4973511959109977
0.002,-1.4973511959109977
0.0022,-1.5043573073848955
0.0024,-1.506268065059595
0.0026,-1.502446549710196
0.0028,-1.5011727112603968
0.003,-1.4992619535856972
0.0032,-1.4967142766860979
0.0034,-1.4954404382362982
0.0036,-1.4960773574611981
0.0038,-1.4941665997864986
0.004,-1.4916189228868997
0.0042,-1.4884343267624005
0.0044,-1.4922558421117995
0.0046,-1.4903450844371
0.0048,-1.4916189228868997
0.005,-1.4935296805615987
0.0052,-1.4967142766860979
0.0054,-1.4941665997864986
0.0056,-1.4967142766860979
0.0058,-1.4967142766860979
0.006,-1.4967142766860979
0.0062,-1.4935296805615987
0.0064,-1.4960773574611981
0.0066,-1.4948035190113984
0.0068,-1.4916189228868997
0.007,-1.4954404382362982
0.0072,-1.4967142766860979
0.0074,-1.4986250343607974
0.0076,-1.5037203881599956
0.0078,-1.5043573073848955
0.008,-1.5018096304852961
0.0082,-1.4998988728105971
0.0084,-1.4986250343607974
0.0086,-1.502446549710196
0.0088,-1.4979881151358976
0.009,-1.4992619535856972
0.0092,-1.4992619535856972
0.0094,-1.4960773574611981
0.0096,-1.5005357920354969
0.0098,-1.5005357920354969
0.01,-1.4998988728105971
0.0102,-1.4973511959109977
0.0104,-1.4967142766860979
0.0106,-1.4992619535856972
0.0108,-1.4960773574611981
0.011,-1.4948035190113984
0.0112,-1.4967142766860979
0.0114,-1.4973511959109977
0.0116,-1.4941665997864986
0.0118,-1.4941665997864986
0.012,-1.4954404382362982
0.0122,-1.4973511959109977
0.0124,-1.4998988728105971
0.0126,-1.502446549710196
0.0128,-1.4973511959109977
0.013,-1.4960773574611981
0.0132,-1.4992619535856972
0.0134,-1.5018096304852961
0.0136,-1.5011727112603968
0.0138,-1.5011727112603968
0.014,-1.502446549710196
0.0142,-1.4979881151358976
0.0144,-1.4948035190113984
0.0146,-1.4979881151358976
0.0148,-1.4973511959109977
0.015,-1.4960773574611981
0.0152,-1.4979881151358976
